Id,Company,Model,Variant,FuelType,Colour,Kilometer,BodyStyle,TransmissionType,ManufactureDate,ModelYear,CngKit,Price,Owner,DealerState,DealerName,City,Warranty,QualityScore,HasCNG
565125,Maruti Suzuki,VITARA BREZZA,VDI O,DIESEL,Red,66535,SUV,,2017-01-04,2017,,875000.0,1.0,Karnataka,Adeep Motors,Bangalore,1,8.1,0
565972,Mahindra,XUV500,W8 AT,DIESEL,Moondust silver,58422,SUV,Manual,2016-01-06,2016,,1350000.0,1.0,Karnataka,Renew 4 u Automobiles PVT Ltd ,Bangalore,1,7.5,0
566113,Honda,JAZZ,1.2 V I VTEC,PETROL,Orange,53377,HATCHBACK,Manual,2016-01-01,2016,,595000.0,1.0,Karnataka,Top Gear Cars,Bangalore,1,7.7,0
568086,Hyundai,GRAND I10,ASTA 1.2 KAPPA VTVT,PETROL,Marine blue,19365,HATCHBACK,Manual,2019-01-01,2019,,675000.0,1.0,Karnataka,Adeep Motors,Bangalore,1,7.9,0
568670,Renault,DUSTER,RXL PETROL 104,PETROL,Brown,42773,SUV,Manual,2017-01-01,2017,,755000.0,1.0,Karnataka,Top Gear Cars,Bangalore,1,7.7,0
569655,Nissan,MICRA ACTIVE,XL,PETROL,Silver,17511,HATCHBACK,Manual,2015-01-11,2015,,409999.99999999994,2.0,Karnataka,Top Gear Cars,Bangalore,1,8.1,0
569743,Maruti Suzuki,CELERIO,ZXI AMT,PETROL,Red,48042,HATCHBACK,MANUAL,2016-01-01,2016,,525000.0,2.0,Karnataka,Renew 4 u Automobiles PVT Ltd ,Bangalore,1,8.1,0
569746,Maruti Suzuki,CELERIO,VXI MT,PETROL,Silver,36914,HATCHBACK,MANUAL,2016-01-05,2016,,484999.99999999994,1.0,Karnataka,Renew 4 u Automobiles PVT Ltd ,Bangalore,1,8.4,0
570318,Maruti Suzuki,SWIFT,VXI,PETROL,Grey,47892,HATCHBACK,Manual,2017-01-05,2017,,645000.0,1.0,Karnataka,Top Gear Cars,Bangalore,1,8.5,0
573003,Jeep,COMPASS,LIMITED 2.0 DIESEL,DIESEL,White,55779,SUV,,2018-01-01,2018,,1545000.0,1.0,Karnataka,Top Gear Cars,Bangalore,1,8.1,0
573134,Hyundai,ELITE I20,MAGNA PLUS 1.2,PETROL,Grey,44291,HATCHBACK,manual,2019-01-07,2019,,715000.0,1.0,Karnataka,PROPEL MOTORS,Bangalore,1,8.7,0
573230,Nissan,TERRANO,XL P,PETROL,Silver,35421,SUV,Manual,2016-01-11,2016,,655000.0,1.0,Karnataka,Top Gear Cars,Bangalore,1,8.0,0
573686,Ford,FIESTA(2008-2011),SXI 1.4 TDCI,DIESEL,Silver,139196,SEDAN,,2010-01-05,2010,,235000.0,1.0,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,0,0.0,0
573763,Hyundai,XCENT,S 1.2 OPT,PETROL,White red,61040,SEDAN,MANUAL,2015-01-02,2015,,555000.0,1.0,Karnataka,Renew 4 u Automobiles PVT Ltd ,Bangalore,1,8.2,0
