id,company,model,variant,fueltype,colour,kilometer,bodystyle,transmissiontype,manufacturedate,modelyear,cngkit,price,owner,dealerstate,dealername,city,warranty,qualityscore,car_age
578862,Maruti Suzuki,Baleno,Alpha,Petrol,Blue,52386,Hatchback,Nan,01-09-2017,2017,Nan,7.3 Lakhs,1St Owner,Karnataka,Adeep Motors,Bangalore,1,8.4,8
579441,Toyota,Fortuner,3.0 Mt 4X2,Diesel,White,123901,Suv,Manual,01-08-2014,2014,Nan,17.75 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,0,6.8,11
579723,Maruti Suzuki,Swift,Vdi Abs,Diesel,Red,32909,Hatchback,Manual,01-01-2018,2018,Nan,7.75 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,1,8.2,7
580182,Maruti Suzuki,Swift Dzire,Vxi At,Petrol,Silver,29723,Hatchback,Automatic,01-01-2018,2018,Nan,7.35 Lakhs,1St Owner,Karnataka,Ace Motors,Bangalore,1,8.5,7
580646,Renault,Kwid(2015_2019),1.0 Rxt Amt O,Petrol,Red,26642,Hatchback,Nan,01-11-2016,2016,Nan,4.2 Lakhs,2Nd Owner,Karnataka,The True Drive,Bangalore,1,8.0,9
580647,Hyundai,Grand I10(2017-2020),Magna 1.2 Kappa Vtvt,Petrol,Orange,16806,Hatchback,Nan,01-10-2018,2018,Nan,6.1 Lakhs,1St Owner,Karnataka,The True Drive,Bangalore,1,8.5,7
580766,Hyundai,Grand I10,1.2 Kappa Asta,Petrol,Blue,36735,Hatchback,Manual,01-06-2018,2018,Nan,6.25 Lakhs,1St Owner,Karnataka,Propel Motors,Bangalore,1,8.4,7
581032,Honda,Amaze,1.2 Vxmt I Vtec,Petrol,Silver,44043,Sedan,Manual,01-08-2015,2015,Nan,5.65 Lakhs,1St Owner,Karnataka,Ace Motors,Bangalore,1,7.8,10
581240,Honda,Jazz,1.2 S I Vtec,Petrol,Maroon,64046,Hatchback,Nan,01-09-2016,2016,Nan,5.85 Lakhs,1St Owner,Karnataka,Renew 4 U Automobiles Pvt Ltd,Bangalore,1,8.0,9
581619,Hyundai,Elite I20,Sportz 1.2,Petrol,Orange,25655,Hatchback,Manual,01-03-2019,2019,Nan,7.85 Lakhs,1St Owner,Karnataka,Renew 4 U Automobiles Pvt Ltd,Bangalore,1,8.5,6
581624,Hyundai,Verna,1.6 Crdi S,Diesel,White,84310,Sedan,Nan,01-09-2015,2015,Nan,6.95 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,1,7.4,10
581649,Honda,Amaze,1.2 Smt I Vtec,Petrol,Red,54859,Sedan,Manual,01-10-2018,2018,Nan,6.75 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,1,8.3,7
581653,Honda,Wr V,Vx Mt Petrol,Petrol,Red,51346,Suv,Nan,01-10-2018,2018,Nan,8.75 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,1,8.1,7
581707,Tata,Tiago,Revotron Xz Plus,Petrol,Red,60937,Hatchback,Nan,01-03-2019,2019,Nan,6.1 Lakhs,1St Owner,Karnataka,Renew 4 U Automobiles Pvt Ltd,Bangalore,1,8.4,6
581851,Maruti Suzuki,Swift Dzire,Vxi,Petrol,Red,24121,Sedan,Manual,01-07-2017,2017,Nan,6.75 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,1,8.1,8
581867,Honda,Wr V,Vx Mt Petrol,Petrol,Red,35298,Suv,Nan,01-02-2019,2019,Nan,8.85 Lakhs,1St Owner,Karnataka,Ace Motors,Bangalore,1,8.2,6
581871,Hyundai,Venue,Sx Plus 1.0 Turbo Dct,Petrol,Forest Dew,42138,Suv,Nan,01-11-2019,2019,Nan,10.75 Lakhs,1St Owner,Karnataka,Zippy Automart,Bangalore,1,8.4,6
582013,Maruti Suzuki,Celerio,Vxi Amt,Petrol,Silky Silver,50708,Hatchback,Nan,01-05-2015,2015,Nan,4.45 Lakhs,2Nd Owner,Karnataka,Ace Motors,Bangalore,1,7.7,10
582029,Maruti Suzuki,Zen Estilo,Vxi,Petrol,Beige,85211,Hatchback,Manual,01-04-2009,2009,Nan,2.4 Lakhs,1St Owner,Karnataka,Ace Motors,Bangalore,0,7.2,16
582250,Tata,Tigor(2018-2020),Revotorq Xm,Diesel,Red,13101,Sedan,Nan,01-10-2018,2018,Nan,6.25 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,1,8.4,7
582272,Volkswagen,Polo(2012-2014),Trendline 1.2L D,Diesel,Red,75046,Hatchback,Nan,01-03-2013,2013,Nan,4.75 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,0,7.4,12
582361,Mahindra,Xuv500,W6,Diesel,Black,59619,Suv,Manual,01-10-2014,2014,Nan,8.95 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,1,7.0,11
582694,Mahindra,Kuv100,K4 Plus 5 Seater Petrol,Petrol,Red,62001,Hatchback,Nan,01-03-2016,2016,Nan,4.55 Lakhs,1St Owner,Karnataka,The True Drive,Bangalore,1,8.1,9
582767,Ford,Figo(2012-2015),Duratorq Diesel Exi 1.4,Diesel,Red,123901,Hatchback,Nan,01-08-2012,2012,Nan,2.75 Lakhs,2Nd Owner,Karnataka,Zippy Automart,Bangalore,0,6.8,13
582770,Renault,Triber,Rxz,Petrol,Orange,20796,Mpv,Nan,01-11-2019,2019,Nan,7.25 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,1,8.6,6
