Id,Company,Model,Variant,FuelType,Colour,Kilometer,BodyStyle,TransmissionType,ManufactureDate,ModelYear,CngKit,Price,Owner,DealerState,DealerName,City,Warranty,QualityScore
581867,Honda,WR V,VX MT PETROL,PETROL,Red,35298,SUV,,02-01-2019,2019,,885000,1,Karnataka,ACE MOTORS,Bangalore,1,8.2
581871,Hyundai,VENUE,SX PLUS 1.0 TURBO DCT,PETROL,Forest dew,42138,SUV,,11-01-2019,2019,,1075000,1,Karnataka,Zippy Automart,Bangalore,1,8.4
582013,Maruti Suzuki,CELERIO,VXI AMT,PETROL,Silky silver,50708,HATCHBACK,,05-01-2015,2015,,445000,2,Karnataka,ACE MOTORS,Bangalore,1,7.7
582029,Maruti Suzuki,ZEN ESTILO,VXI,PETROL,Beige,85211,HATCHBACK,Manual,04-01-2009,2009,,240000,1,Karnataka,ACE MOTORS,Bangalore,0,7.2
582250,Tata,TIGOR(2018-2020),REVOTORQ XM,DIESEL,Red,13101,SEDAN,,10-01-2018,2018,,625000,1,Karnataka,Top Gear Cars,Bangalore,1,8.4
582272,Volkswagen,POLO(2012-2014),TRENDLINE 1.2L D,DIESEL,Red,75046,HATCHBACK,,03-01-2013,2013,,475000,1,Karnataka,Top Gear Cars,Bangalore,0,7.4
582361,Mahindra,XUV500,W6,DIESEL,Black,59619,SUV,Manual,10-01-2014,2014,,895000,1,Karnataka,Top Gear Cars,Bangalore,1,7
582694,Mahindra,KUV100,K4 PLUS 5 SEATER PETROL,PETROL,Red,62001,HATCHBACK,,03-01-2016,2016,,455000,1,Karnataka,The True Drive,Bangalore,1,8.1
582767,Ford,FIGO(2012-2015),DURATORQ DIESEL EXI 1.4,DIESEL,Red,155000,HATCHBACK,,08-01-2012,2012,,275000,2,Karnataka,Zippy Automart,Bangalore,0,6.8
582770,Renault,TRIBER,RXZ,PETROL,Orange,20796,MPV,,11-01-2019,2019,,725000,1,Karnataka,Top Gear Cars,Bangalore,1,8.6
582783,Tata,ALTROZ,XZ PETROL,PETROL,White,7779,HATCHBACK,,07-01-2022,2022,,895000,1,Karnataka,Top Gear Cars,Bangalore,1,9
582787,Honda,JAZZ,1.2 V CVT I VTEC BSIV,PETROL,White,39145,HATCHBACK,,09-01-2015,2015,,625000,1,Karnataka,ACE MOTORS,Bangalore,1,7.5
582791,Maruti Suzuki,WAGON R 1.0,VXI + O,PETROL,Red,62139,HATCHBACK,,07-01-2018,2018,,550000,1,Karnataka,Renew 4 u Automobiles PVT Ltd ,Bangalore,1,8.4
582804,Honda,CITY,1.5 V AT,PETROL,Purple,50130,SEDAN,Automatic,05-01-2012,2012,,549000,2,Karnataka,Zippy Automart,Bangalore,0,6.4
582814,Ford,FIGO,EXI DURATEC 1.2,PETROL,Silver,53230,HATCHBACK,Manual,03-01-2011,2011,,285000,1,Karnataka,ACE MOTORS,Bangalore,0,7.2
582863,Kia,SELTOS,1.5 IVT HTX,PETROL,White,33227,SUV,,11-01-2019,2019,,1400000,1,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,1,8.3
582954,Maruti Suzuki,CELERIO X,ZXI AMT(O),PETROL,Grey,30588,HATCHBACK,,07-01-2018,2018,,570000,1,Karnataka,Zippy Automart,Bangalore,1,8.5
583008,Mahindra,XUV500,W6 4X2,DIESEL,White,104000,SUV,Manual,11-01-2015,2015,,975000,1,Karnataka,The True Drive,Bangalore,0,6.9
583032,Volkswagen,POLO,GT TSI,PETROL,White,62700,HATCHBACK,Automatic,03-01-2021,2021,,875000,1,Karnataka,Cardiction,Bangalore,1,8.1
583033,Mahindra,SCORPIO,S5 2WD,DIESEL,Black,133320,SUV,,01-01-2018,2018,,1020000,1,Karnataka,Cardiction,Bangalore,0,7
583035,Maruti Suzuki,BALENO,ZETA 1.2,PETROL,Blue,50041,HATCHBACK,,01-01-2017,2017,,735000,1,Karnataka,Cardiction,Bangalore,1,8
583111,Hyundai,CRETA,SX 1.6 (O) PETROL,PETROL,White,31516,SUV,,06-01-2018,2018,,1275000,1,Karnataka,Zippy Automart,Bangalore,1,7.9
583144,Hyundai,I20,ASTA 1.2 O,PETROL,Red,58437,HATCHBACK,Manual,12-01-2016,2016,,695000,1,Karnataka,Zippy Automart,Bangalore,1,8.1
583151,Hyundai,I20,SPORTZ 1.4 CRDI,DIESEL,White,74960,HATCHBACK,Manual,08-01-2013,2013,,475000,2,Karnataka,Zippy Automart,Bangalore,0,7.2
583168,Maruti Suzuki,SWIFT,ZXI,PETROL,White,49808,HATCHBACK,Manual,02-01-2021,2021,,750000,1,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,1,8.5
583607,Tata,TIGOR,REVOTRON XZA,PETROL,Red,32073,SEDAN,,10-01-2018,2018,,645000,1,Karnataka,Zippy Automart,Bangalore,1,8.4
584671,Volkswagen,AMEO,HIGHLINE 1.2L PLUS (P),PETROL,White,33135,SEDAN,,11-01-2016,2016,,595000,1,Karnataka,Top Gear Cars,Bangalore,1,8
584895,Nissan,MICRA ACTIVE,XV,PETROL,Blue,44515,HATCHBACK,Manual,05-01-2016,2016,,425000,1,Karnataka,Zippy Automart,Bangalore,1,7.9
584977,Ford,FIGO ASPIRE,"TREND
 1.5",DIESEL,Silver,137388,SEDAN,,03-01-2016,2016,,395000,1,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,0,7.1
585007,Maruti Suzuki,SWIFT,VXI 1.2 BS IV,PETROL,Grey,47129,HATCHBACK,Manual,11-01-2018,2018,,735000,1,Karnataka,Cardiction,Bangalore,1,8.5
585012,Hyundai,I20,SPORTZ 1.4 CRDI,DIESEL,White,108000,HATCHBACK,Manual,06-01-2014,2014,,495000,2,Karnataka,Zippy Automart,Bangalore,0,7.1
585018,Volkswagen,POLO,GT TSI 1.2 PETROL AT,PETROL,White,63088,HATCHBACK,AUOTMATIC,07-01-2017,2017,,900000,2,Karnataka,Cardiction,Bangalore,1,7.6
